Date,Open,High,Low,Close,Volume
2024-01-01,100.0,101.39,99.0,100.39,100000
2024-01-02,100.39,101.39,98.46,99.46,101000
2024-01-03,99.46,100.46,97.84,98.84,102000
2024-01-04,98.84,99.84,96.7,97.7,103000
2024-01-05,97.7,99.51,96.7,98.51,104000
2024-01-06,98.51,101.53,97.51,100.53,105000
2024-01-07,100.53,101.53,97.86,98.86,106000
2024-01-08,98.86,99.86,97.21,98.21,107000
2024-01-09,98.21,99.86,97.21,98.86,108000
2024-01-10,98.86,101.26,97.86,100.26,109000
2024-01-11,100.26,101.26,97.96,98.96,110000
2024-01-12,98.96,99.96,97.83,98.83,111000
2024-01-13,98.83,99.83,96.25,97.25,112000
2024-01-14,97.25,98.49,96.25,97.49,113000
2024-01-15,97.49,98.49,95.94,96.94,114000
2024-01-16,96.94,97.94,95.64,96.64,115000
2024-01-17,96.64,97.64,95.35,96.35,116000
2024-01-18,96.35,99.09,95.35,98.09,117000
2024-01-19,98.09,99.09,96.47,97.47,118000
2024-01-20,97.47,99.35,96.47,98.35,119000
2024-01-21,98.35,99.35,95.58,96.58,120000
2024-01-22,96.58,97.58,93.83,94.83,121000
2024-01-23,94.83,95.83,92.96,93.96,122000
2024-01-24,93.96,95.5,92.96,94.5,123000
2024-01-25,94.5,97.38,93.5,96.38,124000
2024-01-26,96.38,98.59,95.38,97.59,125000
2024-01-27,97.59,99.82,96.59,98.82,126000
2024-01-28,98.82,99.82,96.43,97.43,127000
2024-01-29,97.43,99.54,96.43,98.54,128000
2024-01-30,98.54,99.54,96.05,97.05,129000
