CallID,Representative,ArrivalTime,HandlingTime,Reward
1,Rep2,09:01,3,7
2,Rep3,09:02,4,6
3,Rep4,09:03,5,5
4,Rep5,09:04,6,4
5,Rep1,09:05,7,3
6,Rep2,09:06,8,2
7,Rep3,09:07,2,8
8,Rep4,09:08,3,7
9,Rep5,09:09,4,6
10,Rep1,09:10,5,5
11,Rep2,09:11,6,4
12,Rep3,09:12,7,3
13,Rep4,09:13,8,2
14,Rep5,09:14,2,8
15,Rep1,09:15,3,7
16,Rep2,09:16,4,6
17,Rep3,09:17,5,5
18,Rep4,09:18,6,4
19,Rep5,09:19,7,3
20,Rep1,09:20,8,2
21,Rep2,09:21,2,8
22,Rep3,09:22,3,7
23,Rep4,09:23,4,6
24,Rep5,09:24,5,5
25,Rep1,09:25,6,4
26,Rep2,09:26,7,3
27,Rep3,09:27,8,2
28,Rep4,09:28,2,8
29,Rep5,09:29,3,7
30,Rep1,09:30,4,6
